day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
14,12,2020,Asia,Afghanistan,746,6,33,12526397,30.0
13,12,2020,Asia,Afghanistan,298,9,33,12526397,30.0
12,12,2020,Asia,Afghanistan,113,11,33,12526397,30.0
11,12,2020,Asia,Afghanistan,63,10,33,12526397,30.0
10,12,2020,Asia,Afghanistan,202,16,33,12526397,30.0
9,12,2020,Asia,Afghanistan,135,13,33,12526397,30.0
8,12,2020,Asia,Afghanistan,200,6,33,12526397,30.0
7,12,2020,Asia,Afghanistan,210,26,33,12526397,30.0
6,12,2020,Asia,Afghanistan,234,10,33,12526397,30.0
5,12,2020,Asia,Afghanistan,235,18,33,12526397,30.0
4,12,2020,Asia,Afghanistan,119,5,33,12526397,30.0
3,12,2020,Asia,Afghanistan,202,19,33,12526397,30.0
2,12,2020,Asia,Afghanistan,400,48,33,12526397,30.0
1,12,2020,Asia,Afghanistan,272,11,33,12526397,30.0
30,11,2020,Asia,Afghanistan,0,0,33,12526397,30.0
29,11,2020,Asia,Afghanistan,228,11,33,12526397,30.0
28,11,2020,Asia,Afghanistan,214,15,33,12526397,30.0
27,11,2020,Asia,Afghanistan,0,0,33,12526397,30.0
26,11,2020,Asia,Afghanistan,200,12,33,12526397,30.0
25,11,2020,Asia,Afghanistan,185,13,33,12526397,30.0
24,11,2020,Asia,Afghanistan,246,17,33,12526397,30.0
23,11,2020,Asia,Afghanistan,252,8,33,12526397,30.0
22,11,2020,Asia,Afghanistan,154,12,33,12526397,30.0
21,11,2020,Asia,Afghanistan,232,25,33,12526397,30.0
20,11,2020,Asia,Afghanistan,282,5,33,12526397,30.0
19,11,2020,Asia,Afghanistan,0,0,33,12526397,30.0
18,11,2020,Asia,Afghanistan,383,13,33,12526397,30.0
17,11,2020,Asia,Afghanistan,65,6,33,12526397,30.0
16,11,2020,Asia,Afghanistan,163,9,33,12526397,30.0
15,11,2020,Asia,Afghanistan,205,12,33,12526397,30.0
14,11,2020,Asia,Afghanistan,66,10,33,12526397,30.0
13,11,2020,Asia,Afghanistan,360,14,33,12526397,30.0
12,11,2020,Asia,Afghanistan,146,4,33,12526397,30.0
11,11,2020,Asia,Afghanistan,0,0,33,12526397,30.0
10,11,2020,Asia,Afghanistan,224,12,33,12526397,30.0
9,11,2020,Asia,Afghanistan,80,3,33,12526397,30.0
8,11,2020,Asia,Afghanistan,126,6,33,12526397,30.0
7,11,2020,Asia,Afghanistan,58,2,33,12526397,30.0
6,11,2020,Asia,Afghanistan,40,0,33,12526397,30.0
